iter	Logloss
0	0.6828979746
1	0.6742018252
2	0.6653586892
3	0.6580138641
4	0.6521039911
5	0.6463448997
6	0.641182969
7	0.6364499697
8	0.6309070813
9	0.6266784673
10	0.6230936463
11	0.6193118389
12	0.6167459102
13	0.6143521812
14	0.6119823467
15	0.6098093497
16	0.6079880831
17	0.605188727
18	0.603423613
19	0.6015603072
20	0.6002742848
21	0.5987340155
22	0.5973189027
23	0.596046697
24	0.5941705752
25	0.5931955957
26	0.591347853
27	0.5901366342
28	0.5894349402
29	0.5883822938
30	0.587535224
31	0.5865691388
32	0.5857098075
33	0.5850352997
34	0.5844718745
35	0.5833553064
36	0.5827185724
37	0.5821556124
38	0.5812095089
39	0.5807319083
40	0.5800168487
41	0.5794963277
42	0.5788640016
43	0.5781841352
44	0.5774062865
45	0.5769997039
46	0.5763437529
47	0.5752672184
48	0.5748344391
49	0.5742627157
50	0.5738543605
51	0.5733957533
52	0.5728421304
53	0.5721722462
54	0.5715346964
55	0.5711452431
56	0.5706905511
57	0.5702896157
58	0.5692312349
59	0.5687668463
60	0.5684583349
61	0.5680143799
62	0.5677046169
63	0.5672319468
64	0.566024737
65	0.5655419992
66	0.5651809169
67	0.5649601415
68	0.5645364224
69	0.5641502848
70	0.5635582679
71	0.5632150327
72	0.5626171716
73	0.5623361529
74	0.5619404474
75	0.5617484539
76	0.5614749747
77	0.5612425342
78	0.5608542117
79	0.5605438143
80	0.5602090611
81	0.559955641
82	0.5592803501
83	0.5590634618
84	0.5585810762
85	0.5582728333
86	0.5580202853
87	0.5573823514
88	0.5572039327
89	0.5570296414
90	0.5567208862
91	0.556527568
92	0.5562952272
93	0.5560053047
94	0.555774682
95	0.5555292992
96	0.5550815429
97	0.5542048537
98	0.55393589
99	0.5537645134
100	0.5535338229
101	0.5533741729
102	0.5529826959
103	0.552736881
104	0.5524200172
105	0.5521402886
106	0.5520108909
107	0.5518630848
108	0.551653414
109	0.5511711807
110	0.5507585821
111	0.5505917192
112	0.5504113734
113	0.5502038268
114	0.5499994487
115	0.549821793
116	0.5496230791
117	0.5489952352
118	0.5488224751
119	0.548587554
120	0.5483006376
121	0.5480519198
122	0.5478913532
123	0.5477539536
124	0.5475762035
125	0.5473662026
126	0.5471428003
127	0.5468162524
128	0.5466472574
129	0.5463442882
130	0.5461349494
131	0.545883832
132	0.5457480342
133	0.5456080953
134	0.545442928
135	0.5453188728
136	0.5451682918
137	0.5450185279
138	0.5447550484
139	0.5445518568
140	0.5443850583
141	0.5439877465
142	0.5437238905
143	0.543710054
144	0.5434498068
145	0.5432168485
146	0.5430137694
147	0.5427989702
148	0.5425902772
149	0.5424580658
150	0.5423479955
151	0.5421595027
152	0.5419730232
153	0.5418192598
154	0.5416698351
155	0.5414892293
156	0.5412248613
157	0.5410379898
158	0.5407820737
159	0.540556102
160	0.5403986992
161	0.5402055209
162	0.5400137655
163	0.5399104096
164	0.5396666784
165	0.5394198273
166	0.5391991994
167	0.5390975314
168	0.5389600214
169	0.5387458098
170	0.5383758633
171	0.5380176492
172	0.5377389914
173	0.5375407876
174	0.5372405479
175	0.5370204542
176	0.5368920689
177	0.536697584
178	0.5364539594
179	0.5362320148
180	0.5358904947
181	0.5355367819
182	0.5352302017
183	0.535059158
184	0.5347089359
185	0.5344920175
186	0.5343842072
187	0.5341317165
188	0.5339025894
189	0.533689389
190	0.5333914357
191	0.5332227213
192	0.533036664
193	0.5329173519
194	0.532687271
195	0.532236356
196	0.5320180147
197	0.5318593571
198	0.5317218045
199	0.5315705782
200	0.5313920207
201	0.5311744953
202	0.5309954966
203	0.530752669
204	0.5305285112
205	0.5302591937
206	0.5300115639
207	0.5297942268
208	0.5294346058
209	0.5291960007
210	0.5287257989
211	0.5285146143
212	0.5283062392
213	0.5281040807
214	0.5279184752
215	0.5276799949
216	0.527377547
217	0.5272395378
218	0.5270613886
219	0.5269107064
220	0.5267422398
221	0.5265544444
222	0.5263733545
223	0.5262391825
224	0.5260852308
225	0.525986978
226	0.525702337
227	0.5255547208
228	0.5253297999
229	0.5251564861
230	0.524969551
231	0.5248143907
232	0.5245941592
