iter	Passed	Remaining
0	20	20839
1	39	19859
2	54	18022
3	67	16812
4	79	15758
5	91	15162
6	104	14843
7	117	14575
8	132	14634
9	144	14327
10	158	14284
11	173	14281
12	189	14367
13	202	14271
14	217	14264
15	230	14192
16	242	14042
17	255	13944
18	266	13765
19	276	13536
20	286	13346
21	295	13135
22	306	13021
23	316	12889
24	326	12739
25	335	12558
26	343	12367
27	350	12178
28	359	12040
29	367	11886
30	376	11756
31	384	11641
32	393	11537
33	403	11453
34	412	11385
35	422	11308
36	432	11246
37	442	11197
38	451	11134
39	460	11053
40	469	10988
41	478	10922
42	487	10842
43	495	10767
44	503	10690
45	511	10602
46	519	10524
47	527	10455
48	535	10387
49	543	10318
50	550	10248
51	558	10184
52	566	10120
53	574	10066
54	582	10010
55	590	9948
56	599	9913
57	607	9866
58	615	9818
59	625	9792
60	634	9772
61	643	9738
62	652	9709
63	660	9654
64	668	9619
65	677	9581
66	685	9546
67	693	9510
68	702	9474
69	710	9438
70	718	9406
71	727	9371
72	735	9338
73	743	9304
74	751	9266
75	759	9229
76	768	9213
77	777	9193
78	786	9168
79	794	9133
80	802	9108
81	811	9081
82	819	9049
83	828	9035
84	837	9012
85	845	8987
86	853	8960
87	862	8937
88	870	8913
89	879	8890
90	887	8867
91	895	8836
92	902	8804
93	910	8774
94	918	8753
95	927	8731
96	934	8699
97	941	8669
98	949	8640
99	956	8611
100	964	8582
101	971	8553
102	979	8525
103	986	8495
104	993	8464
105	1001	8444
106	1009	8427
107	1017	8400
108	1024	8375
109	1032	8356
110	1041	8344
111	1049	8324
112	1058	8307
113	1065	8284
114	1074	8270
115	1082	8247
116	1090	8227
117	1098	8212
118	1106	8194
119	1114	8171
120	1122	8153
121	1130	8137
122	1137	8113
123	1145	8091
124	1152	8070
125	1161	8053
126	1168	8029
127	1175	8008
128	1183	7989
129	1190	7967
130	1197	7941
131	1206	7934
132	1214	7918
133	1222	7903
134	1231	7890
135	1240	7881
136	1248	7864
137	1256	7849
138	1266	7844
139	1276	7839
140	1285	7829
141	1293	7815
142	1302	7803
143	1307	7775
144	1316	7762
145	1324	7749
146	1333	7740
147	1341	7724
148	1349	7709
